Date,Total Value,Cash Value,Deposits,Withdrawals
03/03/17,8006.12,1082,0,0
03/04/17,8006.12,1082,0,0
03/05/17,8006.12,1082,0,0
03/06/17,7927.25,1082,0,0
03/07/17,7909.74,1082,0,0
03/08/17,7883.4,1082,0,0
03/09/17,7786.73,1082,0,0
03/10/17,7760.88,1082,0,0
03/11/17,7760.88,1082,0,0
03/12/17,7760.88,1082,0,0
03/13/17,7876.48,1082,0,0
03/14/17,7907.69,1082,0,0
03/15/17,7825.85,1082,0,0
03/16/17,7919.28,1082,0,0
03/17/17,7966.200000000001,1082,0,0

03/18/17,7914.81,1082,0,0

03/19/17,7914.81,1082,0,0

03/20/17,7914.81,1082,0,0

03/21/17,7992.0599999999995,1082,0,0

03/22/17,7832.259999999999,1082,0,0

03/23/17,7865.4400000000005,1082,0,0

03/24/17,7849.070000000001,1082,0,0

03/25/17,7844.73,1082,0,0

03/26/17,7844.73,1082,0,0

03/27/17,7844.73,1082,0,0

03/28/17,7837.8099999999995,1082,0,0

03/29/17,7917.87,1082,0,0

03/30/17,8012.79,1082,0,0

03/31/17,8051.410000000002,1082,0,0

04/01/17,8125.81,1082,0,0

04/02/17,8125.81,1082,0,0

04/03/17,8125.81,1082,0,0

04/04/17,8071.599999999999,1082,0,0
